country,Confirmed,Deaths,Recovered,Active,new_cases,new_deaths,new_recovered,confirmed_last_week,one_week_change,one_week_percent_increase,who_region,mortality_rate,recovery_rate,weekly_growth_rate,active_ratio
Saint Kitts and Nevis,17,0,15,2,0,0,0,17,0,0.0,Americas,0.0,88.24,0.0,0.12
Saint Lucia,24,0,22,2,0,0,0,23,1,4.35,Americas,0.0,91.67,4.35,0.08
Saint Vincent and the Grenadines,52,0,39,13,0,0,0,50,2,4.0,Americas,0.0,75.0,4.0,0.25
San Marino,699,42,657,0,0,0,0,699,0,0.0,Europe,6.01,93.99,0.0,0.0
Sao Tome and Principe,865,14,734,117,2,0,38,746,119,15.95,Africa,1.62,84.86,15.95,0.14
Saudi Arabia,268934,2760,222936,43238,1993,27,2613,253349,15585,6.15,Eastern Mediterranean,1.03,82.9,6.15,0.16
Senegal,9764,194,6477,3093,83,3,68,8948,816,9.12,Africa,1.99,66.34,9.12,0.32
Serbia,24141,543,0,23598,411,9,0,21253,2888,13.59,Europe,2.25,0.0,13.59,0.98
Seychelles,114,0,39,75,0,0,0,108,6,5.56,Africa,0.0,34.21,5.56,0.66
Sierra Leone,1783,66,1317,400,0,0,4,1711,72,4.21,Africa,3.7,73.86,4.21,0.22
Singapore,50838,27,45692,5119,469,0,171,48035,2803,5.84,Western Pacific,0.05,89.88,5.84,0.1
Slovakia,2181,28,1616,537,2,0,39,1980,201,10.15,Europe,1.28,74.09,10.15,0.25
Slovenia,2087,116,1733,238,5,0,55,1953,134,6.86,Europe,5.56,83.04,6.86,0.11
Somalia,3196,93,1543,1560,18,0,22,3130,66,2.11,Eastern Mediterranean,2.91,48.28,2.11,0.49
South Africa,452529,7067,274925,170537,7096,298,9848,373628,78901,21.12,Africa,1.56,60.75,21.12,0.38
South Korea,14203,300,13007,896,28,1,102,13816,387,2.8,Western Pacific,2.11,91.58,2.8,0.06
South Sudan,2305,46,1175,1084,43,1,0,2211,94,4.25,Africa,2.0,50.98,4.25,0.47
Spain,272421,28432,150376,93613,0,0,0,264836,7585,2.86,Europe,10.44,55.2,2.86,0.34
Sri Lanka,2805,11,2121,673,23,0,15,2730,75,2.75,South-East Asia,0.39,75.61,2.75,0.24
Sudan,11424,720,5939,4765,39,3,49,10992,432,3.93,Eastern Mediterranean,6.3,51.99,3.93,0.42
Suriname,1483,24,925,534,44,1,35,1079,404,37.44,Americas,1.62,62.37,37.44,0.36
Sweden,79395,5700,0,73695,398,3,0,78048,1347,1.73,Europe,7.18,0.0,1.73,0.93
Switzerland,34477,1978,30900,1599,65,1,200,33634,843,2.51,Europe,5.74,89.62,2.51,0.05
Syria,674,40,0,634,24,2,0,522,152,29.12,Eastern Mediterranean,5.93,0.0,29.12,0.94
Taiwan*,462,7,440,15,4,0,0,451,11,2.44,Western Pacific,1.52,95.24,2.44,0.03
Tajikistan,7235,60,6028,1147,43,1,58,6921,314,4.54,Europe,0.83,83.32,4.54,0.16
Tanzania,509,21,183,305,0,0,0,509,0,0.0,Africa,4.13,35.95,0.0,0.6
Thailand,3297,58,3111,128,6,0,2,3250,47,1.45,South-East Asia,1.76,94.36,1.45,0.04
Timor-Leste,24,0,0,24,0,0,0,24,0,0.0,South-East Asia,0.0,0.0,0.0,1.0
Togo,874,18,607,249,6,0,8,783,91,11.62,Africa,2.06,69.45,11.62,0.28
Trinidad and Tobago,148,8,128,12,1,0,0,137,11,8.03,Americas,5.41,86.49,8.03,0.08
Tunisia,1455,50,1157,248,3,0,15,1381,74,5.36,Eastern Mediterranean,3.44,79.52,5.36,0.17
Turkey,227019,5630,210469,10920,919,17,982,220572,6447,2.92,Europe,2.48,92.71,2.92,0.05
US,4290259,148011,1325804,2816444,56336,1076,27941,3834677,455582,11.88,Americas,3.45,30.9,11.88,0.66
Uganda,1128,2,986,140,13,0,4,1069,59,5.52,Africa,0.18,87.41,5.52,0.12
Ukraine,67096,1636,37202,28258,835,11,317,60767,6329,10.42,Europe,2.44,55.45,10.42,0.42
United Arab Emirates,59177,345,52510,6322,264,1,328,57193,1984,3.47,Eastern Mediterranean,0.58,88.73,3.47,0.11
United Kingdom,301708,45844,1437,254427,688,7,3,296944,4764,1.6,Europe,15.19,0.48,1.6,0.84
Uruguay,1202,35,951,216,10,1,3,1064,138,12.97,Americas,2.91,79.12,12.97,0.18
Uzbekistan,21209,121,11674,9414,678,5,569,17149,4060,23.67,Europe,0.57,55.04,23.67,0.44
Venezuela,15988,146,9959,5883,525,4,213,12334,3654,29.63,Americas,0.91,62.29,29.63,0.37
Vietnam,431,0,365,66,11,0,0,384,47,12.24,Western Pacific,0.0,84.69,12.24,0.15
West Bank and Gaza,10621,78,3752,6791,152,2,0,8916,1705,19.12,Eastern Mediterranean,0.73,35.33,19.12,0.64
Western Sahara,10,1,8,1,0,0,0,10,0,0.0,Africa,10.0,80.0,0.0,0.1
Yemen,1691,483,833,375,10,4,36,1619,72,4.45,Eastern Mediterranean,28.56,49.26,4.45,0.22
Zambia,4552,140,2815,1597,71,1,465,3326,1226,36.86,Africa,3.08,61.84,36.86,0.35
Zimbabwe,2704,36,542,2126,192,2,24,1713,991,57.85,Africa,1.33,20.04,57.85,0.79
